Chr,gene_symbol,tissue,fold_change,p_value,regulation,detecting_method,pubMed_ID
2,FAM150B,prefrontal cortex,-0.69,0.000307,DOWN,RNA-Seq,26793951
1,FAM167B,prefrontal cortex,0.98,0.000000328,UP,RNA-Seq,26793951
2,FAM171B,prefrontal cortex,0.09,0.00229,UP,microarray transcriptomics,26793951
11,FAM181B,prefrontal cortex,0.4,0.0026,UP,RNA-Seq,26793951
1,FAM183A,prefrontal cortex,-0.68,0.00306,DOWN,RNA-Seq,26793951
10,FAM188A,prefrontal cortex,-0.32,0.000331,DOWN,RNA-Seq,26793951
16,FAM195A,prefrontal cortex,0.44,0.000748,UP,RNA-Seq,26793951
13,FAM216B,prefrontal cortex,-0.92,0.0000268,DOWN,RNA-Seq,26793951
10,FAM21C,prefrontal cortex,-0.14,0.00418,DOWN,microarray transcriptomics,26793951
9,FAM221B,prefrontal cortex,-0.71,0.000609,DOWN,RNA-Seq,26793951
1,FAM229A,prefrontal cortex,0.57,0.0000336,UP,RNA-Seq,26793951
17,FAM27L,prefrontal cortex,-0.53,0.000983,DOWN,Microarray,26793951
4,FAM47E,prefrontal cortex,-0.37,0.0011,DOWN,RNA-Seq,26793951
20,FAM65C,prefrontal cortex,1.01,6.31E-09,UP,RNA-Seq,26793951
1,FAM73A,prefrontal cortex,-0.46,0.00243,DOWN,RNA-Seq,26793951
20,FAM83D,prefrontal cortex,0.43,0.00213,UP,RNA-Seq,26793951
8,FAM86B1,prefrontal cortex,-0.39,0.00121,DOWN,RNA-Seq,26793951
8,FAM86B2,prefrontal cortex,-0.42,0.0016,DOWN,RNA-Seq,26793951
3,FANCD2,prefrontal cortex,-0.44,0.000268,DOWN,RNA-Seq,26793951
11,FANCF,prefrontal cortex,0.22,0.000712,UP,Microarray,26793951
2,FASTKD2,prefrontal cortex,-0.27,0.00306,DOWN,RNA-Seq,26793951
5,FAT2,prefrontal cortex,-1.23,0.000000166,DOWN,RNA-Seq,26793951
22,FBLN1,prefrontal cortex,0.57,0.0000574,UP,RNA-Seq,26793951
15,FBN1,prefrontal cortex,-0.35,0.00205,DOWN,RNA-Seq,26793951
15,FBXL22,prefrontal cortex,-0.55,0.000822,DOWN,RNA-Seq,26793951
13,FBXL3,prefrontal cortex,0.33,0.000597,UP,Microarray,26793951
1,FBXO2,prefrontal cortex,0.43,0.000168,UP,RNA-Seq,26793951
2,FBXO36,prefrontal cortex,-0.43,0.0000935,DOWN,RNA-Seq,26793951
9,FBXW2,prefrontal cortex,-0.27,0.00134,DOWN,RNA-Seq,26793951
19,FCGRT,prefrontal cortex,0.43,0.000499,UP,RNA-Seq,26793951
15,FES,prefrontal cortex,0.44,0.000805,UP,RNA-Seq,26793951
8,FGF17,prefrontal cortex,0.59,0.000586,UP,RNA-Seq,26793951
1,FGR,prefrontal cortex,0.55,0.000895,UP,RNA-Seq,26793951
X,FHL1,prefrontal cortex,0.11,0.00483,UP,microarray transcriptomics,26793951
16,FHOD1,prefrontal cortex,0.35,0.00279,UP,RNA-Seq,26793951
14,FITM1,prefrontal cortex,0.73,0.000261,UP,RNA-Seq,26793951
12,FKBP4,prefrontal cortex,0.57,0.000188,UP,RNA-Seq,26793951
6,FKBP5,prefrontal cortex,0.64,0.000449,UP,RNA-Seq,26793951
5,FKSG61,prefrontal cortex,0.7,0.00297,UP,RNA-Seq,26793951
9,FKTN,prefrontal cortex,-0.33,0.00109,DOWN,RNA-Seq,26793951
17,FLCN,prefrontal cortex,0.31,0.00306,UP,RNA-Seq,26793951
13,FLT3,prefrontal cortex,-0.67,0.00136,DOWN,RNA-Seq,26793951
19,FLT3LG,prefrontal cortex,0.4,0.00179,UP,RNA-Seq,26793951
5,FLT4,prefrontal cortex,0.44,0.00264,UP,RNA-Seq,26793951
3,FNDC3B,prefrontal cortex,0.48,0.000046,UP,Microarray,26793951
9,FOXD4,prefrontal cortex,0.54,0.00152,UP,RNA-Seq,26793951
16,FOXF1,prefrontal cortex,0.59,0.00251,UP,RNA-Seq,26793951
17,FOXJ1,prefrontal cortex,0.73,0.00095,UP,RNA-Seq,26793951
13,FOXO1,prefrontal cortex,0.52,0.000863,UP,Microarray,26793951
1,FPGT-TNNI3K,prefrontal cortex,-0.6,0.000116,DOWN,RNA-Seq,26793951
10,FRAT2,prefrontal cortex,0.31,0.00124,UP,RNA-Seq,26793951
9,FRRS1L,prefrontal cortex,-0.85,0.0000739,DOWN,RNA-Seq,26793951
X,FUNDC2,prefrontal cortex,0.32,0.000585,UP,Microarray,26793951
X,FUNDC2,prefrontal cortex,-0.1,0.00255,DOWN,microarray transcriptomics,26793951
15,FURIN,prefrontal cortex,0.25,0.00298,UP,RNA-Seq,26793951
11,FUT4,prefrontal cortex,0.2,0.0000505,UP,Microarray,26793951
11,FXYD2,prefrontal cortex,0.98,1.24E-09,UP,RNA-Seq,26793951
2,FZD7,prefrontal cortex,0.56,0.000272,UP,Microarray,26793951
10,FZD8,prefrontal cortex,0.59,0.000365,UP,RNA-Seq,26793951
7,FZD9,prefrontal cortex,0.62,0.0000306,UP,RNA-Seq,26793951
1,G0S2,prefrontal cortex,1.51,1.01E-11,UP,RNA-Seq,26793951
X,G6PD,prefrontal cortex,0.1,0.0000998,UP,microarray transcriptomics,26793951
11,GAB2,prefrontal cortex,-0.14,0.00123,DOWN,microarray transcriptomics,26793951
X,GABRA3,prefrontal cortex,0.12,0.00266,UP,microarray transcriptomics,26793951
5,GABRA6,prefrontal cortex,-1.23,0.00000022,DOWN,RNA-Seq,26793951
2,GAD1,prefrontal cortex,-0.18,0.0000244,DOWN,microarray transcriptomics,26793951
X,GAGE10,prefrontal cortex,0.79,0.000417,UP,RNA-Seq,26793951
2,GALM,prefrontal cortex,0.45,0.00093,UP,RNA-Seq,26793951
2,GALNT13,prefrontal cortex,-0.45,0.000514,DOWN,RNA-Seq,26793951
2,GALNT5,prefrontal cortex,-0.66,0.00176,DOWN,RNA-Seq,26793951
2,GAREML,prefrontal cortex,0.69,0.0000177,UP,RNA-Seq,26793951
21,GART,prefrontal cortex,-0.18,0.00206,DOWN,RNA-Seq,26793951
9,GAS1,prefrontal cortex,0.63,0.000696,UP,RNA-Seq,26793951
12,GAS2L3,prefrontal cortex,0.58,0.000296,UP,RNA-Seq,26793951
17,GAS7,prefrontal cortex,-0.35,0.000824,DOWN,RNA-Seq,26793951
1,GBP6,prefrontal cortex,-0.5,0.0000468,DOWN,Microarray,26793951
9,GDA,prefrontal cortex,0.17,0.0000733,UP,microarray transcriptomics,26793951
X,GDI1,prefrontal cortex,0.06,0.000516,UP,microarray transcriptomics,26793951
16,GDPD3,prefrontal cortex,0.57,0.000572,UP,RNA-Seq,26793951
8,GEM,prefrontal cortex,0.89,0.000214,UP,Microarray,26793951
8,GEM,prefrontal cortex,0.61,0.000769,UP,RNA-Seq,26793951
2,GEN1,prefrontal cortex,-0.3,0.00125,DOWN,RNA-Seq,26793951
3,GFM1,prefrontal cortex,-0.26,0.0022,DOWN,RNA-Seq,26793951
3,GFM1,prefrontal cortex,-0.1,0.00263,DOWN,microarray transcriptomics,26793951
5,GFPT2,prefrontal cortex,0.51,0.000123,UP,Microarray,26793951
5,GFPT2,prefrontal cortex,0.27,0.00308,UP,RNA-Seq,26793951
5,GHR,prefrontal cortex,0.43,0.0000428,UP,Microarray,26793951
1,GJA4,prefrontal cortex,0.65,0.00173,UP,RNA-Seq,26793951
X,GJB1,prefrontal cortex,-0.18,0.00184,DOWN,microarray transcriptomics,26793951
17,GJC1,prefrontal cortex,0.41,0.00306,UP,RNA-Seq,26793951
X,GK,prefrontal cortex,-0.09,0.00065,DOWN,microarray transcriptomics,26793951
12,GLI1,prefrontal cortex,0.65,0.00113,UP,RNA-Seq,26793951
3,GLT8D1,prefrontal cortex,-0.16,0.00147,DOWN,RNA-Seq,26793951
10,GLUD1,prefrontal cortex,0.11,0.00115,UP,microarray transcriptomics,26793951
3,GMPS,prefrontal cortex,-0.08,0.000272,DOWN,microarray transcriptomics,26793951
22,GNAZ,prefrontal cortex,-0.55,0.000415,DOWN,Microarray,26793951
5,GNB2L1,prefrontal cortex,-0.06,0.00498,DOWN,microarray transcriptomics,26793951
3,GNB4,prefrontal cortex,0.18,0.00292,UP,microarray transcriptomics,26793951
15,GNB5,prefrontal cortex,-0.08,0.00133,DOWN,microarray transcriptomics,26793951
9,GOLGA2,prefrontal cortex,-0.21,0.000181,DOWN,Microarray,26793951
9,GOLM1,prefrontal cortex,0.37,0.0000398,UP,Microarray,26793951
1,GOLPH3L,prefrontal cortex,0.25,0.000588,UP,Microarray,26793951
1,GOLPH3L,prefrontal cortex,0.22,0.00233,UP,RNA-Seq,26793951
13,GPALPP1,prefrontal cortex,-0.26,0.00155,DOWN,RNA-Seq,26793951
X,GPC4,prefrontal cortex,0.12,0.000965,UP,microarray transcriptomics,26793951
20,GPCPD1,prefrontal cortex,-0.5,0.0000571,DOWN,RNA-Seq,26793951
7,GPER1,prefrontal cortex,0.68,0.00000112,UP,RNA-Seq,26793951
X,GPM6B,prefrontal cortex,0.12,0.00544,UP,microarray transcriptomics,26793951
14,GPR137C,prefrontal cortex,-0.41,0.000614,DOWN,RNA-Seq,26793951
3,GPR149,prefrontal cortex,-1.08,0.00000649,DOWN,RNA-Seq,26793951
10,GPR158,prefrontal cortex,-0.13,0.000853,DOWN,microarray transcriptomics,26793951
2,GPR35,prefrontal cortex,0.52,0.000124,UP,RNA-Seq,26793951
19,GPR4,prefrontal cortex,0.94,0.00000688,UP,RNA-Seq,26793951
16,GPR97,prefrontal cortex,0.69,0.00301,UP,RNA-Seq,26793951
6,GPSM3,prefrontal cortex,0.64,0.0000165,UP,RNA-Seq,26793951
18,GREB1L,prefrontal cortex,-0.86,0.0000156,DOWN,RNA-Seq,26793951
5,GRIA1,prefrontal cortex,0.14,0.00297,UP,microarray transcriptomics,26793951
17,GRN,prefrontal cortex,0.32,0.000818,UP,RNA-Seq,26793951
7,GSAP,prefrontal cortex,-0.31,0.00221,DOWN,RNA-Seq,26793951
8,GSDMD,prefrontal cortex,0.47,0.00114,UP,RNA-Seq,26793951
20,GSS,prefrontal cortex,0.07,0.00504,UP,microarray transcriptomics,26793951
4,GSTCD,prefrontal cortex,-0.32,0.00248,DOWN,RNA-Seq,26793951
7,GSTK1,prefrontal cortex,-0.11,0.00267,DOWN,microarray transcriptomics,26793951
11,GSTP1,prefrontal cortex,0.16,0.000149,UP,microarray transcriptomics,26793951
12,GTF2H3,prefrontal cortex,-0.23,0.00232,DOWN,RNA-Seq,26793951
6,GTF2H5,prefrontal cortex,-0.26,0.00096,DOWN,RNA-Seq,26793951
7,GTPBP10,prefrontal cortex,-0.22,0.00274,DOWN,RNA-Seq,26793951
11,GUCY1A2,prefrontal cortex,-0.09,0.00151,DOWN,microarray transcriptomics,26793951
6,HACE1,prefrontal cortex,-0.35,0.000379,DOWN,RNA-Seq,26793951
3,HACL1,prefrontal cortex,-0.42,0.00000651,DOWN,RNA-Seq,26793951
16,HBA1,prefrontal cortex,0.43,0.00566,UP,microarray transcriptomics,26793951
11,HBB,prefrontal cortex,-0.68,0.00269,DOWN,RNA-Seq,26793951
6,HBS1L,prefrontal cortex,-0.45,0.0000858,DOWN,RNA-Seq,26793951
3,HCLS1,prefrontal cortex,0.64,0.000611,UP,RNA-Seq,26793951
5,HCN1,prefrontal cortex,-0.16,0.00000393,DOWN,microarray transcriptomics,26793951
22,HDAC10,prefrontal cortex,0.52,0.0000624,UP,RNA-Seq,26793951
1,HDGF,prefrontal cortex,0.22,0.000736,UP,RNA-Seq,26793951
2,HDLBP,prefrontal cortex,-0.46,0.00063,DOWN,Microarray,26793951
2,HEATR5B,prefrontal cortex,-0.23,0.00161,DOWN,RNA-Seq,26793951
2,HECW2,prefrontal cortex,-0.62,0.00000412,DOWN,RNA-Seq,26793951
15,HERC1,prefrontal cortex,-0.27,0.000127,DOWN,RNA-Seq,26793951
16,HERPUD1,prefrontal cortex,0.33,0.000516,UP,Microarray,26793951
17,HES7,prefrontal cortex,0.66,0.000546,UP,RNA-Seq,26793951
15,HEXA,prefrontal cortex,-0.19,0.00257,DOWN,RNA-Seq,26793951
17,HEXIM1,prefrontal cortex,0.5,0.000159,UP,Microarray,26793951
17,HEXIM1,prefrontal cortex,0.27,0.00301,UP,RNA-Seq,26793951
7,HGF,prefrontal cortex,1.25,0.00026,UP,Microarray,26793951
3,HHLA2,prefrontal cortex,-0.72,0.000256,DOWN,RNA-Seq,26793951
9,HIATL2,prefrontal cortex,-0.46,0.00307,DOWN,RNA-Seq,26793951
17,HIC1,prefrontal cortex,0.71,0.0000711,UP,RNA-Seq,26793951
19,HIF3A,prefrontal cortex,0.82,0.0000124,UP,RNA-Seq,26793951
17,HIGD1B,prefrontal cortex,0.71,0.0000134,UP,RNA-Seq,26793951
6,HIVEP2,prefrontal cortex,-0.33,0.00217,DOWN,RNA-Seq,26793951
5,HK3,prefrontal cortex,0.65,0.000254,UP,RNA-Seq,26793951
21,HLCS,prefrontal cortex,-0.3,0.00143,DOWN,RNA-Seq,26793951
3,HLTF,prefrontal cortex,-0.37,0.000352,DOWN,RNA-Seq,26793951
1,HLX,prefrontal cortex,0.42,0.000879,UP,RNA-Seq,26793951
8,HMBOX1,prefrontal cortex,0.33,0.00133,UP,RNA-Seq,26793951
15,HMG20A,prefrontal cortex,-0.2,0.00112,DOWN,RNA-Seq,26793951
4,HMGB2,prefrontal cortex,-0.13,0.00113,DOWN,microarray transcriptomics,26793951
19,HMHA1,prefrontal cortex,0.45,0.0000348,UP,RNA-Seq,26793951
14,HNRNPC,prefrontal cortex,-0.11,0.00508,DOWN,microarray transcriptomics,26793951
19,HOOK2,prefrontal cortex,0.4,0.000546,UP,RNA-Seq,26793951
16,HP,prefrontal cortex,0.77,0.0013,UP,RNA-Seq,26793951
-,HPX-2,prefrontal cortex,-0.47,0.000199,DOWN,Microarray,26793951
18,HRH4,prefrontal cortex,0.7,0.00248,UP,RNA-Seq,26793951
2,HS6ST1,prefrontal cortex,0.3,0.000569,UP,Microarray,26793951
13,HS6ST3,prefrontal cortex,-0.85,0.000293,DOWN,RNA-Seq,26793951
22,HSCB,prefrontal cortex,-0.12,0.00234,DOWN,microarray transcriptomics,26793951
16,HSD11B2,prefrontal cortex,0.74,0.000423,UP,RNA-Seq,26793951
11,HSD17B12,prefrontal cortex,-0.31,0.00305,DOWN,RNA-Seq,26793951
16,HSD3B7,prefrontal cortex,0.45,0.00241,UP,RNA-Seq,26793951
8,HSF1,prefrontal cortex,0.28,0.00237,UP,RNA-Seq,26793951
10,HSPA14,prefrontal cortex,-0.22,0.000926,DOWN,RNA-Seq,26793951
6,HSPA1A,prefrontal cortex,1.49,4.46E-11,UP,RNA-Seq,26793951
6,HSPA1B,prefrontal cortex,1.29,2.96E-09,UP,RNA-Seq,26793951
6,HSPA1L,prefrontal cortex,0.52,0.000234,UP,RNA-Seq,26793951
1,HSPA6,prefrontal cortex,1.83,1.77E-14,UP,RNA-Seq,26793951
7,HSPB1,prefrontal cortex,1.3,3.19E-10,UP,RNA-Seq,26793951
11,HSPB2,prefrontal cortex,0.44,0.000656,UP,RNA-Seq,26793951
17,HSPB9,prefrontal cortex,0.91,0.0000183,UP,RNA-Seq,26793951
X,HTR2C,prefrontal cortex,-0.92,0.0000905,DOWN,RNA-Seq,26793951
5,HTR4,prefrontal cortex,-0.65,0.00124,DOWN,RNA-Seq,26793951
6,IBTK,prefrontal cortex,-0.3,0.000745,DOWN,RNA-Seq,26793951
11,IFITM5,prefrontal cortex,0.73,0.00227,UP,RNA-Seq,26793951
9,IFNA2,prefrontal cortex,0.88,0.000213,UP,RNA-Seq,26793951
22,IFT27,prefrontal cortex,-0.25,0.0016,DOWN,RNA-Seq,26793951
20,IFT52,prefrontal cortex,-0.23,0.000479,DOWN,RNA-Seq,26793951
15,IGF1R,prefrontal cortex,0.23,0.00224,UP,RNA-Seq,26793951
9,IGFBPL1,prefrontal cortex,-0.65,0.00268,DOWN,RNA-Seq,26793951
19,IGFL2,prefrontal cortex,-0.73,0.00127,DOWN,RNA-Seq,26793951
4,IGJ,prefrontal cortex,0.79,0.00101,UP,RNA-Seq,26793951
2,IHH,prefrontal cortex,0.83,0.000169,UP,RNA-Seq,26793951
12,IKIP,prefrontal cortex,0.28,0.00016,UP,Microarray,26793951
10,IKZF5,prefrontal cortex,0.36,0.000327,UP,Microarray,26793951
10,IL15RA,prefrontal cortex,0.48,0.00232,UP,RNA-Seq,26793951
3,IL17RB,prefrontal cortex,0.65,0.00000239,UP,RNA-Seq,26793951
22,IL17REL,prefrontal cortex,-0.82,0.000528,DOWN,RNA-Seq,26793951
2,IL1R2,prefrontal cortex,0.92,0.0000987,UP,RNA-Seq,26793951
X,IL1RAPL1,prefrontal cortex,-0.27,0.000923,DOWN,Microarray,26793951
X,IL2RG,prefrontal cortex,0.6,0.000218,UP,RNA-Seq,26793951
16,IL4R,prefrontal cortex,0.64,0.00203,UP,RNA-Seq,26793951
8,IMPA1,prefrontal cortex,0.08,0.00229,UP,microarray transcriptomics,26793951
8,IMPAD1,prefrontal cortex,-0.28,0.000029,DOWN,RNA-Seq,26793951
7,IMPDH1,prefrontal cortex,0.33,0.00177,UP,RNA-Seq,26793951
14,INF2,prefrontal cortex,-0.1,0.00339,DOWN,microarray transcriptomics,26793951
2,INPP5D,prefrontal cortex,0.41,0.00191,UP,RNA-Seq,26793951
9,INPP5E,prefrontal cortex,0.24,0.00299,UP,RNA-Seq,26793951
11,INPPL1,prefrontal cortex,0.44,0.000126,UP,RNA-Seq,26793951
4,INTS12,prefrontal cortex,0.3,0.00000119,UP,Microarray,26793951
4,INTU,prefrontal cortex,-0.5,0.00195,DOWN,RNA-Seq,26793951
1,IPO9,prefrontal cortex,0.1,0.00569,UP,microarray transcriptomics,26793951
1,IPP,prefrontal cortex,-0.31,0.000819,DOWN,RNA-Seq,26793951
7,IQUB,prefrontal cortex,0.4,0.000245,UP,Microarray,26793951
5,IRF1,prefrontal cortex,0.43,0.00282,UP,RNA-Seq,26793951
19,IRF3,prefrontal cortex,0.27,0.000714,UP,RNA-Seq,26793951
11,IRF7,prefrontal cortex,0.63,0.000144,UP,RNA-Seq,26793951
12,ISCU,prefrontal cortex,-0.13,0.0000367,DOWN,microarray transcriptomics,26793951
15,ISG20L1,prefrontal cortex,0.52,0.000371,UP,Microarray,26793951
5,ISOC1,prefrontal cortex,0.21,0.00000482,UP,microarray transcriptomics,26793951
19,ISYNA1,prefrontal cortex,0.67,0.000000262,UP,RNA-Seq,26793951
1,ITGA10,prefrontal cortex,0.77,0.00000703,UP,RNA-Seq,26793951
1,ITPKB,prefrontal cortex,0.53,0.000573,UP,RNA-Seq,26793951
6,ITPR3,prefrontal cortex,0.44,0.000194,UP,RNA-Seq,26793951
9,JAK2,prefrontal cortex,0.31,0.00031,UP,Microarray,26793951
14,JDP2,prefrontal cortex,0.56,0.00000206,UP,RNA-Seq,26793951
17,JMJD6,prefrontal cortex,0.66,0.00000121,UP,RNA-Seq,26793951
19,KANK2,prefrontal cortex,0.47,0.00175,UP,RNA-Seq,26793951
16,KAT8,prefrontal cortex,0.24,0.000468,UP,RNA-Seq,26793951
13,KATNAL1,prefrontal cortex,-0.2,0.00282,DOWN,RNA-Seq,26793951
10,KAZALD1,prefrontal cortex,-0.45,0.00282,DOWN,RNA-Seq,26793951
1,KCNA2,prefrontal cortex,-0.18,0.000973,DOWN,microarray transcriptomics,26793951
20,KCNB1,prefrontal cortex,-0.18,0.0000183,DOWN,microarray transcriptomics,26793951
2,KCNE4,prefrontal cortex,1.31,1.2E-09,UP,RNA-Seq,26793951
1,KCNH1,prefrontal cortex,-0.66,0.00205,DOWN,RNA-Seq,26793951
11,KDM4D,prefrontal cortex,-0.37,0.00235,DOWN,RNA-Seq,26793951
18,KDSR,prefrontal cortex,0.29,0.000154,UP,Microarray,26793951
1,KHDRBS1,prefrontal cortex,-0.29,0.000912,DOWN,RNA-Seq,26793951
5,KIAA0141,prefrontal cortex,-0.32,0.000929,DOWN,Microarray,26793951
1,KIAA0319L,prefrontal cortex,-0.37,0.000833,DOWN,Microarray,26793951
1,KIAA1107,prefrontal cortex,-0.17,0.00000865,DOWN,microarray transcriptomics,26793951
3,KIAA1143,prefrontal cortex,-0.25,0.000657,DOWN,RNA-Seq,26793951
7,KIAA1324L,prefrontal cortex,-0.44,0.00247,DOWN,RNA-Seq,26793951
3,KIAA1407,prefrontal cortex,-0.37,0.00191,DOWN,RNA-Seq,26793951
-,KIAA1466,prefrontal cortex,-0.28,0.000336,DOWN,Microarray,26793951
3,KIAA1524,prefrontal cortex,-0.52,0.00151,DOWN,RNA-Seq,26793951
1,KIAA2013,prefrontal cortex,-0.27,0.00012,DOWN,Microarray,26793951
2,KIDINS220,prefrontal cortex,-0.28,0.00198,DOWN,RNA-Seq,26793951
19,KIRREL2,prefrontal cortex,-0.51,0.000532,DOWN,RNA-Seq,26793951
19,KLC3,prefrontal cortex,0.79,0.000047,UP,RNA-Seq,26793951
3,KLF15,prefrontal cortex,0.63,0.0000532,UP,RNA-Seq,26793951
18,KLHL14,prefrontal cortex,-0.52,0.000997,DOWN,Microarray,26793951
1,KLHL17,prefrontal cortex,0.49,0.0000789,UP,RNA-Seq,26793951
1,KLHL20,prefrontal cortex,-0.26,0.00084,DOWN,RNA-Seq,26793951
1,KLHL21,prefrontal cortex,0.31,0.00106,UP,RNA-Seq,26793951
2,KLHL23,prefrontal cortex,0.42,0.000216,UP,Microarray,26793951
12,KLHL42,prefrontal cortex,-0.31,0.000657,DOWN,RNA-Seq,26793951
3,KLHL6,prefrontal cortex,0.69,0.000695,UP,RNA-Seq,26793951
19,KLK1,prefrontal cortex,0.91,0.0000934,UP,RNA-Seq,26793951
19,KLK14,prefrontal cortex,0.73,0.0000137,UP,RNA-Seq,26793951
12,KLRG1,prefrontal cortex,0.3,0.000987,UP,Microarray,26793951
1,KPNA6,prefrontal cortex,0.09,0.00438,UP,microarray transcriptomics,26793951
17,KPNB1,prefrontal cortex,0.12,0.00204,UP,microarray transcriptomics,26793951
17,KRT10,prefrontal cortex,0.24,0.000901,UP,Microarray,26793951
17,KRT9,prefrontal cortex,-0.47,0.0047,DOWN,microarray transcriptomics,26793951
17,KRTAP2-4,prefrontal cortex,-0.5,0.000801,DOWN,Microarray,26793951
17,KSR1,prefrontal cortex,-0.55,0.000147,DOWN,Microarray,26793951
14,L3HYPDH,prefrontal cortex,-0.37,0.000244,DOWN,RNA-Seq,26793951
3,LAMB2,prefrontal cortex,0.55,0.000137,UP,RNA-Seq,26793951
2,LANCL1,prefrontal cortex,-0.43,0.000838,DOWN,RNA-Seq,26793951
7,LANCL2,prefrontal cortex,-0.2,0.00291,DOWN,RNA-Seq,26793951
2,LAPTM4A,prefrontal cortex,0.3,0.000521,UP,Microarray,26793951
16,LAT,prefrontal cortex,0.69,0.000243,UP,RNA-Seq,26793951
7,LAT2,prefrontal cortex,0.55,0.000776,UP,RNA-Seq,26793951
2,LBX2,prefrontal cortex,0.82,0.000526,UP,RNA-Seq,26793951
6,LCA5,prefrontal cortex,0.36,0.000731,UP,Microarray,26793951
9,LCN10,prefrontal cortex,0.97,0.0000121,UP,RNA-Seq,26793951
9,LCN6,prefrontal cortex,0.77,0.000871,UP,RNA-Seq,26793951
9,LCNL1,prefrontal cortex,0.58,0.00026,UP,RNA-Seq,26793951
18,LDLRAD4,prefrontal cortex,-0.41,0.003,DOWN,RNA-Seq,26793951
3,LEKR1,prefrontal cortex,-0.56,0.00292,DOWN,RNA-Seq,26793951
17,LHX1,prefrontal cortex,-1.07,0.00000304,DOWN,RNA-Seq,26793951
20,LIME1,prefrontal cortex,0.48,0.0022,UP,RNA-Seq,26793951
4,LIN54,prefrontal cortex,-0.32,0.000826,DOWN,RNA-Seq,26793951
1,LIN9,prefrontal cortex,0.32,0.0000515,UP,Microarray,26793951
2,LINC01119,prefrontal cortex,-0.49,0.000966,DOWN,RNA-Seq,26793951
2,LINCR,prefrontal cortex,0.46,0.000209,UP,Microarray,26793951
1,LINGO4,prefrontal cortex,-0.73,0.00182,DOWN,RNA-Seq,26793951
2,LMAN2L,prefrontal cortex,0.29,0.000537,UP,RNA-Seq,26793951
-,LOC100127983,prefrontal cortex,0.38,0.000725,UP,Microarray,26793951
-,LOC100129292,prefrontal cortex,-0.48,0.00000887,DOWN,Microarray,26793951
-,LOC100133154,prefrontal cortex,-0.46,0.000137,DOWN,Microarray,26793951
-,LOC100133627,prefrontal cortex,-0.43,0.0000574,DOWN,Microarray,26793951
-,LOC145757,prefrontal cortex,-0.42,0.000606,DOWN,Microarray,26793951
-,LOC153328,prefrontal cortex,0.82,0.000354,UP,Microarray,26793951
-,LOC283666,prefrontal cortex,0.32,0.000974,UP,Microarray,26793951
-,LOC283871,prefrontal cortex,-0.23,0.000573,DOWN,Microarray,26793951
-,LOC400590,prefrontal cortex,-0.39,0.000142,DOWN,Microarray,26793951
-,LOC439911,prefrontal cortex,0.38,0.000496,UP,Microarray,26793951
-,LOC440338,prefrontal cortex,0.32,0.00036,UP,Microarray,26793951
-,LOC441383,prefrontal cortex,-0.41,0.000794,DOWN,Microarray,26793951
-,LOC63920,prefrontal cortex,0.31,0.000225,UP,Microarray,26793951
19,LONP1,prefrontal cortex,-0.08,0.00207,DOWN,microarray transcriptomics,26793951
19,LPAR2,prefrontal cortex,0.4,0.00129,UP,RNA-Seq,26793951
1,LPGAT1,prefrontal cortex,-0.33,0.00201,DOWN,RNA-Seq,26793951
7,LRCH4,prefrontal cortex,0.38,0.00112,UP,RNA-Seq,26793951
2,LRPPRC,prefrontal cortex,-0.26,0.00064,DOWN,RNA-Seq,26793951
7,LRRC17,prefrontal cortex,-0.35,0.00172,DOWN,RNA-Seq,26793951
1,LRRC39,prefrontal cortex,-0.37,0.00015,DOWN,RNA-Seq,26793951
21,LRRC3DN,prefrontal cortex,0.59,0.00159,UP,RNA-Seq,26793951
1,LRRC40,prefrontal cortex,-0.34,0.00287,DOWN,RNA-Seq,26793951
15,LRRC49,prefrontal cortex,-0.33,0.000841,DOWN,RNA-Seq,26793951
17,LRRC59,prefrontal cortex,-0.12,0.0000191,DOWN,microarray transcriptomics,26793951
1,LRRC8B,prefrontal cortex,-0.37,0.00202,DOWN,RNA-Seq,26793951
7,LSMEM1,prefrontal cortex,0.81,0.000000785,UP,RNA-Seq,26793951
21,LTN1,prefrontal cortex,-0.35,0.00157,DOWN,RNA-Seq,26793951
1,LUZP1,prefrontal cortex,-0.15,0.00525,DOWN,microarray transcriptomics,26793951
8,LY6K,prefrontal cortex,-0.31,0.000999,DOWN,Microarray,26793951
6,LYRM2,prefrontal cortex,-0.28,0.000736,DOWN,RNA-Seq,26793951
6,LYRM4,prefrontal cortex,-0.15,0.00000469,DOWN,microarray transcriptomics,26793951
5,LYRM7,prefrontal cortex,-0.26,0.000187,DOWN,RNA-Seq,26793951
5,LYSMD3,prefrontal cortex,0.32,0.000204,UP,Microarray,26793951
13,MAB21L1,prefrontal cortex,0.31,0.000982,UP,Microarray,26793951
11,MACROD1,prefrontal cortex,0.45,0.0000488,UP,RNA-Seq,26793951
22,MAFF,prefrontal cortex,0.96,0.000000858,UP,RNA-Seq,26793951
8,MAK16,prefrontal cortex,-0.3,0.0000747,DOWN,RNA-Seq,26793951
3,MANF,prefrontal cortex,0.36,0.00167,UP,RNA-Seq,26793951
1,MAP1LC3C,prefrontal cortex,0.73,0.00117,UP,RNA-Seq,26793951
17,MAP2K3,prefrontal cortex,0.37,0.00064,UP,RNA-Seq,26793951
17,MAP2K6,prefrontal cortex,0.08,0.00461,UP,microarray transcriptomics,26793951
3,MAP6D1,prefrontal cortex,-0.32,0.000709,DOWN,Microarray,26793951
